state,state population,ethnicity,gender,age group,group population
WY,563626,NavAm,Male,25-29,542
PR,3725789,NavAm,Male,25-29,725
AL,4779736,NavAm,Male,30-34,999
AK,710231,NavAm,Male,30-34,3294
AZ,6392017,NavAm,Male,30-34,10287
AR,2915918,NavAm,Male,30-34,709
CA,37253956,NavAm,Male,30-34,13410
CO,5029196,NavAm,Male,30-34,2201
CT,3574097,NavAm,Male,30-34,380
DE,897934,NavAm,Male,30-34,145
DC,601723,NavAm,Male,30-34,90
FL,18801310,NavAm,Male,30-34,2638
GA,9687653,NavAm,Male,30-34,1295
HI,1360301,NavAm,Male,30-34,209
ID,1567582,NavAm,Male,30-34,748
IL,12830632,NavAm,Male,30-34,1816
IN,6483802,NavAm,Male,30-34,643
IA,3046355,NavAm,Male,30-34,383
KS,2853118,NavAm,Male,30-34,992
KY,4339367,NavAm,Male,30-34,385
LA,4533372,NavAm,Male,30-34,1032
ME,1328361,NavAm,Male,30-34,253
MD,5773552,NavAm,Male,30-34,785
MA,6547629,NavAm,Male,30-34,660
MI,9883640,NavAm,Male,30-34,1955
MN,5303925,NavAm,Male,30-34,2037
MS,2967297,NavAm,Male,30-34,545
MO,5988927,NavAm,Male,30-34,934
MT,989415,NavAm,Male,30-34,1962
NE,1826341,NavAm,Male,30-34,636
NV,2700551,NavAm,Male,30-34,1109
NH,1316470,NavAm,Male,30-34,89
NJ,8791894,NavAm,Male,30-34,1237
NM,2059179,NavAm,Male,30-34,6552
NY,19378102,NavAm,Male,30-34,4041
NC,9535483,NavAm,Male,30-34,4270
ND,672591,NavAm,Male,30-34,1223
OH,11536504,NavAm,Male,30-34,828
OK,3751351,NavAm,Male,30-34,10799
OR,3831074,NavAm,Male,30-34,1941
PA,12702379,NavAm,Male,30-34,920
RI,1052567,NavAm,Male,30-34,209
SC,4625364,NavAm,Male,30-34,718
SD,814180,NavAm,Male,30-34,2175
TN,6346105,NavAm,Male,30-34,685
TX,25145561,NavAm,Male,30-34,6366
UT,2763885,NavAm,Male,30-34,1221
VT,625741,NavAm,Male,30-34,71
VA,8001024,NavAm,Male,30-34,1072
WA,6724540,NavAm,Male,30-34,3606
WV,1852994,NavAm,Male,30-34,133
WI,5686986,NavAm,Male,30-34,1879
WY,563626,NavAm,Male,30-34,431
PR,3725789,NavAm,Male,30-34,686
AL,4779736,NavAm,Male,35-39,967
